player,role,hero,hero role,cfp,time_in_sec,rating,winrate,tierate,lossrate,fwin,ftie,floss,ptk,ptk_comp_to_avg,kills_per_10,kills_per_10_comp_to_avg,deaths_per_10,deaths_per_10_comp_to_avg,ults_per_10,ults_per_10_comp_to_avg,ttcu,ttcu_comp_to_avg,kpu,kpu_comp_to_avg,ult_eff,ult_eff_comp_to_avg,fights_fought,first_kills,first_kills_comp_to_avg,first_deaths,first_deaths_comp_to_avg,hsk,hsk_comp_to_avg,ult_kills,ult_kills_comp_to_avg,ttcfu,ttcfu_comp_to_avg,tuh,tuh_comp_to_avg,uoof,uoof_comp_to_avg
Seagull,Flex,Hanzo,defense,9,1251,882,0.44,0,0.56,0.52,0.08,0.4,0.235,-0.14,11.51,0.15,7.19,0.39,3.84,0,79,0.05,0,0,-27,-5.03,25,0.16,-0.12,0.08,-0.22,0,0,0,0,72,-0.05,39,0.33,0,0
Seagull,flex,Junkrat,defense,26,12823,954,0.56,0.08,0.36,0.508,0.046,0.447,0.285,-0.03,11.04,0.06,7.39,0.14,4.35,-0.06,83,0.04,0,0,6.2,-0.1,262,0.153,-0.23,0.095,-0.11,0,0,0,0,87,0.04,31,0.66,0.091,-0.28
Seagull,flex,Pharah,offense,70,1110,1086,0.62,0,0.38,0.4,0.24,0.36,0.27,-0.06,10.81,0.06,6.49,0.05,5.95,0.65,65,-0.29,0,0,37.8,2.18,25,0.12,-0.26,0.08,-0.05,0,0,0,0,73,-0.22,18,-0.42,0.2,2.57
Seagull,flex,Genji,offense,111,2689,1152,0.2,0,0.8,0.397,0.069,0.534,0.309,0.25,11.38,0.31,6.92,0.13,4.69,0.28,80,-0.16,0,0,18.2,0.61,58,0.138,0.05,0.103,0.12,0,0,0,0,84,-0.12,25,-0.19,0.048,0.3
TviQ,dps,Widowmaker,defense,42,5356,880,0.41,0,0.59,0.518,0.018,0.464,0.257,0,8.74,-0.03,7.84,0.32,4.14,-0.02,86,0.05,0,0,9.1,0.28,112,0.196,0.02,0.17,0.48,0,0,0,0,78,-0.05,4,-0.51,0.378,0.29
TviQ,dps,Tracer,offense,151,4162,648,0.51,0,0.49,0.391,0.08,0.529,0.239,-0.05,7.78,-0.12,9.08,0.57,6.78,0.28,67,-0.05,0,0,6.1,0.17,87,0.092,-0.3,0.138,0.6,0,0,0,0,70,-0.1,10,-0.58,0.125,0.58
TviQ,dps,Genji,offense,111,6627,873,0.05,0,0.95,0.296,0.056,0.648,0.273,0.1,7.7,-0.11,8.24,0.35,3.71,0.01,97,0.03,0,0,17.8,0.58,125,0.12,-0.08,0.104,0.13,0,0,0,0,90,-0.06,30,-0.06,0.053,0.43
TviQ,dps,Junkrat,defense,26,7848,864,0.17,0.09,0.74,0.455,0.066,0.479,0.32,0.09,9.4,-0.1,6.96,0.07,3.98,-0.14,86,0.07,0,0,-3.6,-1.52,167,0.204,0.03,0.084,-0.21,0,0,0,0,87,0.04,26,0.38,0.078,-0.39
TviQ,dps,Soldier: 76,offense,148,3402,567,0.17,0,0.83,0.391,0.043,0.565,0.171,-0.28,4.76,-0.4,9.35,0.61,3.17,-0.1,86,-0.11,0,0,10.9,0.47,69,0.043,-0.64,0.116,0.23,0,0,0,0,87,-0.1,56,0.77,0,0
TviQ,dps,Mccree,offense,67,1994,586,0.11,0,0.89,0.341,0.136,0.523,0.214,-0.2,6.62,-0.3,9.63,0.43,3.91,0.03,88,0.15,0,0,5.9,-0.42,44,0.091,-0.43,0.091,-0.24,0,0,0,0,78,-0.04,32,0.1,0,0
TviQ,dps,Pharah,offense,70,4463,948,0.14,0,0.86,0.411,0.063,0.526,0.274,-0.05,9.68,-0.05,5.92,-0.04,2.82,-0.22,98,0.07,0,0,8.9,-0.25,95,0.179,0.1,0.053,-0.37,0,0,0,0,97,0.03,73,1.28,0.059,0.05
TviQ,dps,Sombra,offense,60,992,1022,0.24,0.29,0.47,0.2,0,0.8,0.216,0.53,4.84,0.01,4.84,-0.14,4.23,-0.2,79,0.18,0,0,-3.3,-1.54,20,0.15,0.88,0.05,-0.46,0,0,0,0,77,0.15,38,0.55,0,0
aKm,dps,Soldier: 76,offense,148,2590,1214,0.77,0,0.23,0.611,0.037,0.352,0.249,0.05,10.89,0.38,6.02,0.04,4.4,0.24,90,-0.07,0,0,20.1,1.72,54,0.13,0.1,0.13,0.38,0,0,0,0,90,-0.07,19,-0.4,0,0
aKm,dps,Pharah,offense,70,903,1071,0.84,0,0.16,0.65,0.1,0.25,0.333,0.15,13.29,0.31,5.98,-0.03,3.32,-0.08,99,0.08,0,0,35,1.94,20,0.2,0.23,0.15,0.79,0,0,0,0,101,0.07,24,-0.24,0,0
uNKOE,Support,Zenyatta,support,112,20447,1024,0.51,0.2,0.29,0.5,0.056,0.444,0.1,-0.05,3.64,-0.02,6.19,0,3.7,0.08,102,0,0,0,6.9,0.1,410,0.049,-0.11,0.085,-0.2,0,0,0,0,105,-0.01,35,0.16,0.091,0.12
uNKOE,Support,Mercy,support,73,9897,1001,0.69,0,0.31,0.507,0.07,0.423,0.01,0.4,0.42,0.64,5.03,0,3.82,0.02,99,0.03,0,0,5.2,0.16,201,0,0,0.055,-0.14,0,0,0,0,81,-0.11,33,0.1,0,0
uNKOE,Support,Moira,support,12,1926,1009,0.61,0.13,0.26,0.477,0,0.523,0.049,-0.44,1.56,-0.47,5.3,-0.07,5.3,-0.02,69,0.06,0,0,5.6,-0.38,44,0,0,0.159,0.67,0,0,0,0,59,-0.01,24,0.42,0.063,-0.53
Taimou,Off Tank,Roadhog,tank,90,6404,1324,0.46,0.09,0.45,0.492,0.063,0.444,0.259,0.08,11.24,0.42,5.06,-0.13,5.34,0.8,79,-0.27,0,0,10.3,1.34,126,0.111,-0.25,0.04,-0.55,0,0,0,0,92,-0.19,16,-0.47,0.158,0.84
Taimou,dps,Soldier: 76,offense,148,2586,662,0.07,0.27,0.66,0.3,0,0.7,0.2,-0.16,5.57,-0.29,7.66,0.32,3.94,0.11,101,0.04,0,0,16.2,1.19,50,0.04,-0.66,0.16,0.7,0,0,0,0,111,0.14,25,-0.2,0.118,1.11
Taimou,dps,Junkrat,defense,26,2337,952,0.13,0.14,0.73,0.438,0.021,0.542,0.333,0.14,10.27,-0.02,7.19,0.11,3.59,-0.22,89,0.11,0,0,10.8,0.57,48,0.292,0.47,0.125,0.17,0,0,0,0,81,-0.03,15,-0.19,0.071,-0.44
Taimou,dps,Widowmaker,defense,42,5359,894,0.26,0.02,0.72,0.405,0.063,0.532,0.245,-0.04,8.17,-0.09,6.61,0.11,5.04,0.19,82,0.01,0,0,11.3,0.59,111,0.153,-0.2,0.108,-0.06,0,0,0,0,96,0.17,4,-0.51,0.279,-0.04
