player,role,hero,hero.role,cfp,time_in_sec,rating,winrate,tierate,lossrate,fwin,ftie,floss,ptk,ptk_comp_to_avg,kills_per_10,kills_per_10_comp_to_avg,deaths_per_10,deaths_per_10_comp_to_avg,ults_per_10,ults_per_10_comp_to_avg,ttcu,ttcu_comp_to_avg,kpu,kpu_comp_to_avg,ult_eff,ult_eff_comp_to_avg,fights_fought,first_kills,first_kills_comp_to_avg,first_deaths,first_deaths_comp_to_avg,hsk,hsk_comp_to_avg,ult_kills,ult_kills_comp_to_avg,ttcfu,ttcfu_comp_to_avg,tuh,tuh_comp_to_avg,uoof,uoof_comp_to_avg,simple_model_role,pred_ri_role,pred_rs_role,pred_rsi_role,simple_model,pred_ri,pred_rs,pred_rsi
Seagull,Flex,Hanzo,Defense,9,1251,882,0.44,0,0.56,0.52,0.08,0.4,0.235,-0.14,11.51,0.15,7.19,0.39,3.84,0,79,0.05,0,0,-27,-5.03,25,0.16,-0.12,0.08,-0.22,0,0,0,0,72,-0.05,39,0.33,0,0,1020.6928561058844,945.292592159837,945.937615036584,945.0288445690037,1020.6928561058844,985.2239491617577,990.185382770579,988.4202055852991
Seagull,flex,Junkrat,Defense,26,12823,954,0.56,0.08,0.36,0.508,0.046,0.447,0.285,-0.03,11.04,0.06,7.39,0.14,4.35,-0.06,83,0.04,0,0,6.2,-0.1,262,0.153,-0.23,0.095,-0.11,0,0,0,0,87,0.04,31,0.66,0.091,-0.28,1010.133160235908,933.8594616864319,936.2741229798743,934.792726255886,1010.133160235908,959.1157586153474,965.5526333789318,961.6463085854891
Seagull,flex,Pharah,Offense,70,1110,1086,0.62,0,0.38,0.4,0.24,0.36,0.27,-0.06,10.81,0.06,6.49,0.05,5.95,0.65,65,-0.29,0,0,37.8,2.18,25,0.12,-0.26,0.08,-0.05,0,0,0,0,73,-0.22,18,-0.42,0.2,2.57,915.0958974061216,909.7567466919305,910.4657947678537,910.1774928737012,915.0958974061216,895.4058758533408,892.1047942616369,917.5081646531448
Seagull,flex,Genji,Offense,111,2689,1152,0.2,0,0.8,0.397,0.069,0.534,0.309,0.25,11.38,0.31,6.92,0.13,4.69,0.28,80,-0.16,0,0,18.2,0.61,58,0.138,0.05,0.103,0.12,0,0,0,0,84,-0.12,25,-0.19,0.048,0.3,912.4559734386276,906.8984640735792,907.5911985014386,907.3052846528789,912.4559734386276,961.8351437848557,951.7959035835016,963.8039282438933
TviQ,dps,Widowmaker,Defense,42,5356,880,0.41,0,0.59,0.518,0.018,0.464,0.257,0,8.74,-0.03,7.84,0.32,4.14,-0.02,86,0.05,0,0,9.1,0.28,112,0.196,0.02,0.17,0.48,0,0,0,0,78,-0.05,4,-0.51,0.378,0.29,1018.9329067942217,943.3870704142695,944.3270330271324,943.3228248501506,1018.9329067942217,952.3233375241239,950.8082525819202,950.8534799641618
TviQ,dps,Tracer,Offense,151,4162,648,0.51,0,0.49,0.391,0.08,0.529,0.239,-0.05,7.78,-0.12,9.08,0.57,6.78,0.28,67,-0.05,0,0,6.1,0.17,87,0.092,-0.3,0.138,0.6,0,0,0,0,70,-0.1,10,-0.58,0.125,0.58,907.1761255036395,901.1818988368767,901.8420059686083,901.5608682112339,907.1761255036395,863.205942389185,882.039088146437,845.1805112325771
TviQ,dps,Genji,Offense,111,6627,873,0.05,0,0.95,0.296,0.056,0.648,0.273,0.1,7.7,-0.11,8.24,0.35,3.71,0.01,97,0.03,0,0,17.8,0.58,125,0.12,-0.08,0.104,0.13,0,0,0,0,90,-0.06,30,-0.06,0.053,0.43,823.5785331996606,810.6696159224199,810.8131241987943,810.6076078851909,823.5785331996606,862.9145920428199,841.7353482424885,871.0301873181592
TviQ,dps,Junkrat,Defense,26,7848,864,0.17,0.09,0.74,0.455,0.066,0.479,0.32,0.09,9.4,-0.1,6.96,0.07,3.98,-0.14,86,0.07,0,0,-3.6,-1.52,167,0.204,0.03,0.084,-0.21,0,0,0,0,87,0.04,26,0.38,0.078,-0.39,963.4945034768461,883.3631354288929,893.5936997294064,889.5832037062827,963.4945034768461,907.2069542358633,918.9824314703563,911.9237111401958
TviQ,dps,Soldier: 76,Offense,148,3402,567,0.17,0,0.83,0.391,0.043,0.565,0.171,-0.28,4.76,-0.4,9.35,0.61,3.17,-0.1,86,-0.11,0,0,10.9,0.47,69,0.043,-0.64,0.116,0.23,0,0,0,0,87,-0.1,56,0.77,0,0,907.1761255036395,901.1818988368767,901.8420059686083,901.5608682112339,907.1761255036395,891.4163428470905,899.583001460698,878.057220903319
TviQ,dps,Mccree,Offense,67,1994,586,0.11,0,0.89,0.341,0.136,0.523,0.214,-0.2,6.62,-0.3,9.63,0.43,3.91,0.03,88,0.15,0,0,5.9,-0.42,44,0.091,-0.43,0.091,-0.24,0,0,0,0,78,-0.04,32,0.1,0,0,863.1773927120717,853.5438551976889,853.932068195022,853.690731197527,863.1773927120717,836.8896189640963,843.8940486467185,830.7762179513343
